Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
STUD0001,13,Non-binary,Postgraduate,Science,No,6,1,Yes,Computer Science,Intermediate,3,Yes,5,High,No,Neutral,No,South America,No
STUD0002,16,Non-binary,Undergraduate,Medicine,No,6,1,Yes,Math,Beginner,2,Yes,3,Low,Yes,Positive,No,Oceania,No
STUD0003,15,Prefer not to say,High School,Science,No,4,5,Yes,Art,Advanced,5,Yes,2,Low,Yes,Neutral,Yes,Oceania,No
STUD0004,24,Female,Postgraduate,Engineering,Yes,2,4,No,Economics,Beginner,5,No,3,High,No,Neutral,No,Europe,Yes
STUD0005,22,Non-binary,Undergraduate,Arts,Yes,10,3,No,Art,Beginner,4,Yes,1,Medium,No,Negative,Yes,North America,Yes
STUD0006,28,Male,High School,Science,Yes,10,5,No,Economics,Intermediate,1,Yes,1,Low,No,Neutral,No,Asia,Yes
STUD0007,19,Male,Undergraduate,Business,Yes,9,4,Yes,History,Intermediate,4,Yes,5,Medium,Yes,Neutral,No,North America,Yes
STUD0008,19,Male,High School,Education,No,1,5,No,Physics,Beginner,5,Yes,2,Low,No,Neutral,Yes,Oceania,No
STUD0009,29,Non-binary,Undergraduate,Law,Yes,0,2,Yes,Computer Science,Beginner,2,No,2,High,Yes,Positive,Yes,Asia,No
STUD0010,16,Prefer not to say,Postgraduate,Engineering,Yes,10,5,Yes,Art,Beginner,4,No,1,Medium,Yes,Positive,Yes,Africa,No
STUD0011,26,Male,High School,Business,No,10,1,Yes,Math,Intermediate,3,Yes,1,Low,No,Positive,No,Africa,Yes
STUD0012,15,Non-binary,Undergraduate,Arts,Yes,5,1,Yes,Math,Beginner,1,No,4,Low,No,Negative,No,Oceania,No
STUD0013,22,Male,High School,Business,No,2,5,Yes,Art,Beginner,1,Yes,2,Medium,No,Negative,Yes,North America,Yes
STUD0014,27,Female,Postgraduate,Business,No,9,5,No,Economics,Intermediate,3,No,3,Medium,No,Neutral,No,Oceania,No
STUD0015,21,Prefer not to say,Undergraduate,Law,Yes,2,2,Yes,Math,Intermediate,2,Yes,3,Medium,No,Positive,Yes,North America,Yes
STUD0016,18,Female,Postgraduate,Law,Yes,3,1,Yes,Art,Beginner,5,No,1,High,Yes,Positive,No,Oceania,No
